brand,channel,sku,recent_ad_spend,recent_units,product,wasted_ad_spend_l6m,oos_months_l6m,fba_available,fba_incoming,sales_velocity,days_of_inventory,oos_risk,units_30d,snapshot,out_now,low_stock,advertising_while_out_now,advertising_while_low,review_month
Vegavero,Amazon,VV-VITA-203,1980.03,632.0,Vegavero Gaba Kapseln hochdosiert 120 Stück - 1000 mg Gaba mit L-Theanin aus Grüntee Extrakt & Vitamin B6 - Gamma Aminobuttersäure vegan - ohne Zusatzstoffe,0.0,1,2891.0,0.0,35.6423,83.777,False,845.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-204,445.61,325.0,Teufelskralle Kapseln Vegavero | 550 mg | Mit Weidenrinde (Salix alba) & Ingwer | 2% Harpagoside aus Harpagophytum procumbens | Vegan & Ohne Zusätze | 120 Stück,0.0,0,20.0,0.0,5.1892,1.5417,True,231.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-206,746.0,445.0,"Vegavero Organic Artichoke 40,000 mg 20:1 High Strength Extract | Without Leaf Fibre or Inulin | 2.5% Cynarin | NO Additives, Lab-Tested | 120 Capsules | Vegan",0.0,0,339.0,0.0,10.0298,37.887,False,295.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-207,1449.83,697.0,ASTRAGALO BIO Vegavero® | 5600 mg | Titolato in Polisaccaridi | ADATTOGENO per DIFESE IMMUNITARIE | 120 capsule | Vegan,0.0,0,448.0,120.0,24.2169,20.688,True,725.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-208,2935.41,1359.0,Vegavero Organic Horse Chestnut Extract | with Red Vines & Acerola Cherry | 120 Capsules | NO Additives | Circulation & Varicose Veins Support | Aesculus Hippocastanum | Vegan,0.0,0,1054.0,34.0,40.1398,28.326,True,1217.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-215,1131.2900000000002,384.0,"EQUISETO BIO Vegavero® | 2500 mg | Integratore per Capelli, Unghie e Pelle (Psoriasi)* | fonte di Silicio e Flavonoidi | 90 capsule | Vegan",0.0,0,88.0,0.0,2.3597,4.6617,True,202.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-216,3000.6400000000003,1191.0,Vegavero Kudzu Root | 6000 mg (10:1) High Strength Extract 8% Isoflavones | NO Additives | 180 Capsules | Plus Avena Sativa & Vitamin C | Alcohol Detox | Midlife Supplement | Vegan,54.34,5,1779.0,60.0,31.3337,31.1073,False,1000.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-222,13289.83,1472.0,Vegavero Organic Black Cumin Seed Oil 1000 mg | Cold Pressed | 180 Capsules | Nigella Sativa | High Strength Thymoquinone & Linoleic Acid | NO Additives | Vegan | Added Vitamin E,0.0,0,1203.0,360.0,41.0246,31.4689,False,1355.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-222-V,874.21,57.0,"Vegavero Bio Schwarzkümmelöl Kapseln hochdosiert 300 Stück - 1000 mg kaltgepresstes Nigella sativa Öl mit 55% Linolsäure, 22% Ölsäure & 1,5% Thymoquinon – vegan, ohne Zusatzstoffe & Laborgeprüft",0.0,0,441.0,0.0,2.5543,173.4345,False,62.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-223,2050.94,665.0,Vegavero Vegan Omega 3 | Algae Oil DHA & EPA | 90 Capsules | NO Additives | Lab-Tested,0.0,1,599.0,0.0,19.6779,32.8796,True,626.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-224,178.98,131.0,"Vegavero Vegan Essentials Vitamine complex | Vitaminen A, B12, B2, D3 + K2, foliumzuur, ijzer, selenium, jodium, calcium | Laboratoriumgetest, geen toevoegingen",0.65,4,157.0,120.0,5.4999,8.1672,True,88.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-225,691.39,173.0,SHILAJIT MUMIJO Puro Vegavero® | 1.300 mg | con 60% Acidi Fulvici e 12% Acidi Umici | Mumio con più di 85 oligoelementi | Medicina Ayurveda e Tibetana | 90 capsule | Vegan,0.0,0,3028.0,0.0,6.4423,94.3533,False,180.0,2026-07-09,False,False,False,False,2026-06
