brand,channel,country,sku,product,cm_source,months_active,last_sale_month,net_sales_l3m,net_sales_p3m,net_sales_l6m,cm1_l6m,cm2_l6m,cm3_l6m,ad_spend_l6m,cm3_p6m,net_sales_p6m,net_sales_ttm,cm3_ttm,net_sales_l2m,neg_cm3_months,cm_months_l6m,cm3_pct_l6m,cm3_pct_p6m,cm1_pct_l6m,cm2_pct_l6m,cm3_improving_pp,sales_trend_pct,launch_month,censored,source,age_months,vol_tier,margin_tier,cluster,cm3_target,verdict,reasons,review_month,manual
Vegavero,Shopify,WEB,VV-VITA-284,VV-VITA-284,estimated,24,2026-06,1079.09,776.39,1855.48,1176.41,860.80588,100.62417526511244,760.1817047348876,229.11310100448853,1090.1899999999998,2945.67,329.73727626960095,483.84,3,6,5.423080564873372,21.015887231077937,63.401922952551374,46.392625088925776,-15.592806666204565,38.98813740517008,2024-07,True,first-sale proxy,23.0,2,3,3-2,24.30494285714286,Fix,CM3% 5.4 vs target 24.3,2026-06,False
Vegavero,Shopify,WEB,VV-VITA-286,VV-VITA-286,estimated,20,2026-06,690.3,1459.28,2149.58,1524.69,1159.4979799999999,191.22132866823614,968.2766513317638,78.72186568966526,1173.9499999999998,3323.5299999999997,269.9431943579014,690.3,1,4,8.895753061911451,6.7057256007210935,70.92966998204301,53.94067585295732,2.1900274611903576,-52.69585000822323,2024-07,True,first-sale proxy,23.0,2,2,2-2,24.30494285714286,Fix,CM3% 8.9 vs target 24.3; margin improving (+2.2pp),2026-06,False
Vegavero,Shopify,WEB,VV-VITA-287,VV-VITA-287,estimated,21,2026-06,1885.5500000000002,251.43,2136.98,1223.27,831.93525,262.7822571698591,569.1529928301409,569.7136173326991,3797.65,5934.63,832.4958745025581,1968.8200000000002,1,5,12.2968982943153,15.001741006482932,57.242931613772704,38.930418160207395,-2.7048427121676326,649.930398122738,2024-07,True,first-sale proxy,23.0,2,2,2-2,24.30494285714286,Fix,CM3% 12.3 vs target 24.3,2026-06,False
Vegavero,Shopify,WEB,VV-VITA-295,VV-VITA-295,estimated,24,2026-06,1158.3,604.5899999999999,1762.8899999999999,1220.6999999999998,936.6050899999999,438.846407171826,497.7586828281739,77.43584416960962,1160.82,2923.71,516.2822513414357,715.44,0,6,24.893578565413954,6.670788250513398,69.24425233565337,53.12895813125039,18.222790314900557,91.58437949684912,2024-07,True,first-sale proxy,23.0,2,1,1-2,24.30494285714286,Scale,"CM3% 24.9 >= target, sales +92% 3m",2026-06,False
Vegavero,Shopify,WEB,VV-VITA-297,VV-VITA-297,estimated,22,2026-05,1615.44,1202.06,2817.5,1635.58,1052.2475,-468.2517720352387,1520.4992720352386,40.52860578237648,553.23,3370.73,-427.7231662528622,584.75,5,5,-16.619406283415746,7.32581490200757,58.05075421472937,37.34685004436557,-23.945221185423314,34.38929837112957,2024-07,True,first-sale proxy,23.0,2,3,3-2,24.30494285714286,Exit,"CM3 negative in 5 of last 6 months, not improving",2026-06,False
Vegavero,Shopify,WEB,VV-VITA-298,VV-VITA-298,estimated,24,2026-06,1798.6399999999999,1692.91,3491.55,2286.95,1704.66055,421.77761295001915,1282.882937049981,434.0020695329569,2618.5,6110.05,855.7796824829761,1360.27,1,6,12.079953400352828,16.574453677027186,65.49956323122967,48.82245850696682,-4.4945002766743585,6.245459002545899,2024-07,True,first-sale proxy,23.0,1,2,2-1,24.30494285714286,Fix,CM3% 12.1 vs target 24.3,2026-06,False
Vegavero,Shopify,WEB,VV-VITA-299,MACA & MUIRA PUAMA Vegavero® | Einzigartig: 5,none,5,2024-11,,,,,,,,,,,,,0,0,,,,,,,2024-07,True,first-sale proxy,23.0,,,,24.30494285714286,No data,no margin data for this market,2026-06,False
Vegavero,Shopify,WEB,VV-VITA-301,VV-VITA-301,estimated,22,2026-06,1145.33,2670.7200000000003,3816.05,2823.8,1957.4505100000003,704.5916880539045,1252.858821946096,540.8504528456076,2723.86,6539.91,1245.442140899512,1173.99,1,6,18.46390084128626,19.856029782940666,73.99798220673209,51.29520079663528,-1.3921289416544056,-57.1153097292116,2024-07,True,first-sale proxy,23.0,1,1,1-1,24.30494285714286,Fix,CM3% 18.5 vs target 24.3,2026-06,False
Vegavero,Shopify,WEB,VV-VITA-303,VV-VITA-303,estimated,24,2026-06,1289.06,736.26,2025.3200000000002,1365.87,848.9389199999999,112.16967132911847,736.7692486708816,63.35468247082983,697.91,2723.23,175.5243537999483,882.96,2,6,5.538367829731522,9.077772559617978,67.43971323050184,41.916285821499805,-3.5394047298864564,75.08217205878358,2024-07,True,first-sale proxy,23.0,2,3,3-2,24.30494285714286,Fix,CM3% 5.5 vs target 24.3,2026-06,False
Vegavero,Shopify,WEB,VV-VITA-304,VV-VITA-304,estimated,24,2026-06,1288.43,1840.83,3129.26,2119.64,1296.3840599999999,226.8945308822407,1069.4895291177593,119.88242243474221,961.53,4090.79,346.77695331698294,806.19,2,6,7.250740778402584,12.467881650571714,67.7361420911014,41.42781552188057,-5.21714087216913,-30.008202821553315,2024-07,True,first-sale proxy,23.0,2,2,2-2,24.30494285714286,Fix,CM3% 7.3 vs target 24.3,2026-06,False
