sku,first_sale_month,censored,source
VV-VITA-352,2024-07,True,first-sale proxy
VV-VITA-353,2024-07,True,first-sale proxy
VV-VITA-354,2024-07,True,first-sale proxy
VV-VITA-355,2024-07,True,first-sale proxy
VV-VITA-355-V,2025-12,False,first-sale proxy
VV-VITA-356,2024-07,True,first-sale proxy
VV-VITA-357,2024-07,True,first-sale proxy
VV-VITA-358,2024-08,False,first-sale proxy
VV-VITA-359,2024-07,True,first-sale proxy
VV-VITA-360,2024-07,True,first-sale proxy
VV-VITA-361,2024-09,False,first-sale proxy
VV-VITA-362,2024-08,False,first-sale proxy
VV-VITA-363,2024-07,True,first-sale proxy
VV-VITA-363-V,2025-11,False,first-sale proxy
VV-VITA-364,2024-07,True,first-sale proxy
VV-VITA-365,2024-09,False,first-sale proxy
VV-VITA-366,2024-09,False,first-sale proxy
VV-VITA-367,2024-11,False,first-sale proxy
VV-VITA-368,2024-09,False,first-sale proxy
VV-VITA-369,2024-09,False,first-sale proxy
VV-VITA-370,2024-09,False,first-sale proxy
VV-VITA-370-V,2025-11,False,first-sale proxy
VV-VITA-371,2024-09,False,first-sale proxy
VV-VITA-372,2024-11,False,first-sale proxy
VV-VITA-373,2024-11,False,first-sale proxy
VV-VITA-374,2024-12,False,first-sale proxy
VV-VITA-375,2025-04,False,first-sale proxy
VV-VITA-376,2024-12,False,first-sale proxy
VV-VITA-377,2025-01,False,first-sale proxy
VV-VITA-378,2025-01,False,first-sale proxy
VV-VITA-379,2024-12,False,first-sale proxy
VV-VITA-38,2024-07,True,first-sale proxy
VV-VITA-380,2025-02,False,first-sale proxy
VV-VITA-381,2025-02,False,first-sale proxy
VV-VITA-382,2025-01,False,first-sale proxy
VV-VITA-383,2025-05,False,first-sale proxy
VV-VITA-384,2025-02,False,first-sale proxy
VV-VITA-385,2025-04,False,first-sale proxy
VV-VITA-386,2025-07,False,first-sale proxy
VV-VITA-387,2025-07,False,first-sale proxy
VV-VITA-388,2025-03,False,first-sale proxy
VV-VITA-389,2025-06,False,first-sale proxy
VV-VITA-39,2024-07,True,first-sale proxy
VV-VITA-390,2025-06,False,first-sale proxy
VV-VITA-391,2025-07,False,first-sale proxy
VV-VITA-392,2025-11,False,first-sale proxy
VV-VITA-393,2025-08,False,first-sale proxy
VV-VITA-394,2025-08,False,first-sale proxy
VV-VITA-395,2025-08,False,first-sale proxy
VV-VITA-396,2025-10,False,first-sale proxy
VV-VITA-397,2025-10,False,first-sale proxy
VV-VITA-398,2026-01,False,first-sale proxy
VV-VITA-399,2026-03,False,first-sale proxy
VV-VITA-400,2026-03,False,first-sale proxy
VV-VITA-401,2025-12,False,first-sale proxy
VV-VITA-402,2026-01,False,first-sale proxy
VV-VITA-403,2025-11,False,first-sale proxy
VV-VITA-404,2026-02,False,first-sale proxy
VV-VITA-405,2026-02,False,first-sale proxy
VV-VITA-406,2026-02,False,first-sale proxy
VV-VITA-407,2026-01,False,first-sale proxy
VV-VITA-408,2026-03,False,first-sale proxy
VV-VITA-409,2026-03,False,first-sale proxy
VV-VITA-410,2026-04,False,first-sale proxy
VV-VITA-411,2026-03,False,first-sale proxy
VV-VITA-412,2026-06,False,first-sale proxy
VV-VITA-413,2026-06,False,first-sale proxy
VV-VITA-414,2026-06,False,first-sale proxy
VV-VITA-415,2026-06,False,first-sale proxy
VV-VITA-417,2026-04,False,first-sale proxy
VV-VITA-46,2024-07,True,first-sale proxy
VV-VITA-49,2024-07,True,first-sale proxy
VV-VITA-49-V2,2025-11,False,first-sale proxy
VV-VITA-50,2024-07,True,first-sale proxy
VV-VITA-50-V,2024-07,True,first-sale proxy
VV-VITA-57,2024-07,True,first-sale proxy
VV-VITA-57-V,2024-07,True,first-sale proxy
VV-VITA-57-V2,2024-07,True,first-sale proxy
VV-VITA-63,2024-07,True,first-sale proxy
VV-VITA-86,2024-07,True,first-sale proxy
VV-VITA-88,2024-07,True,first-sale proxy
VV-VITA-90,2024-07,True,first-sale proxy
VV-VITA-93,2024-07,True,first-sale proxy
VV-VITA-94,2024-07,True,first-sale proxy
VV-VITA-98,2024-07,True,first-sale proxy
VV-VITA-99,2024-07,True,first-sale proxy
Vegan_Basics_Set_3,2025-12,False,first-sale proxy
Vitality_Set_3,2025-12,False,first-sale proxy
WT-66DZ-EI2B,2024-07,True,first-sale proxy
