brand,channel,sku,product,cm_source,months_active,last_sale_month,net_sales_l3m,net_sales_p3m,net_sales_l6m,cm1_l6m,cm2_l6m,cm3_l6m,ad_spend_l6m,cm3_p6m,net_sales_p6m,net_sales_ttm,cm3_ttm,net_sales_l2m,neg_cm3_months,cm_months_l6m,cm3_pct_l6m,cm3_pct_p6m,cm1_pct_l6m,cm2_pct_l6m,cm3_improving_pp,sales_trend_pct,launch_month,censored,source,age_months,vol_tier,margin_tier,cluster,cm3_target,verdict,reasons,incubating,review_month,bsr,bsr_month,country_verdicts,n_markets,n_markets_action,manual
Vegavero,Amazon,VV-VITA-265,"Ginkgo Biloba + Ginseng | 12.000 mg Máxima Dosificación | Circulación Sanguínea, Memoria, Concentración | Sin Aditivos | Probado en Laboratorio | Vegavero",actual,12,2026-06,11090.76,12799.51,23890.27,13501.69,5716.79,4079.94,1636.91,6432.25,26170.05,50060.32,10512.19,7367.29,0,6,17.077831267708568,24.578669127494983,56.515434944854114,23.92936538599187,-7.500837859786415,-13.350120434297875,2024-07,True,first-sale proxy,23.0,2,2,2-2,20.856717113993675,Defend,"between target and broken - hold, re-check next month",False,2026-06,30766.0,2026-07,ES:Defend|FR:Defend|GB:Fix|IT:Defend,4,1,False
Vegavero,Amazon,VV-VITA-266,Moringa BIO | Dose Elevée : 2000mg | 180 Comprimés | SUPERFOOD : Multivitamines et Minéraux | 3 Mois | Antioxydant + Energie | VEGAN | Vegavero®,actual,10,2026-04,24703.12,112271.03,136974.15,-22832.440000000002,-54500.590000000004,-67268.24,12767.75,109585.5,340604.27999999997,477578.43,42317.26,0.0,2,6,-49.11017151776449,32.173847022709175,-16.669159837823415,-39.788960179712745,-81.28401854047367,-77.99688842259664,2024-07,True,first-sale proxy,23.0,1,3,3-1,20.450986647730296,Fix,CM3% -49.1 vs target 20.5; no sales in last 2 months (OOS / delisted?),False,2026-06,26183.0,2026-07,DE:Fix|ES:Fix|FR:Fix|GB:Fix|IE:Fix|IT:Fix,6,6,False
Vegavero,Amazon,VV-VITA-274,Cystite Complex Vegavero® | 120 Gélules | 100% NATUREL : Avec D-Mannose + Canneberge + Ortie + Pamplemousse + Busserole | Sans Additifs | Confort Urinaire | VEGAN,actual,12,2026-06,17737.77,23059.82,40797.590000000004,26944.55,13121.5,8795.03,4326.36,12338.18,38383.01,79180.6,21133.21,11976.050000000001,1,6,21.557719463331043,32.14489952716059,66.04446488138147,32.162439006813884,-10.587180063829546,-23.07932152115671,2024-07,True,first-sale proxy,23.0,2,1,1-2,19.265951542663228,Defend,"CM3% 21.6 >= target, momentum negative - hold",False,2026-06,26178.0,2026-07,DE:No data|ES:Defend|FR:Fix|GB:Defend|IT:Defend|NL:Scale,6,1,False
Vegavero,Amazon,VV-VITA-276,Vegavero Diosmine + Hespéridine | Avec Rutine + Marronnier d’Inde + Petit Houx | Circulation Sanguine et Hémorroïdes | 100% Naturel | 120 Gélules | VEGAN,actual,12,2026-06,190142.44999999998,144665.46,334807.91,194476.7,94020.99,59145.03,34876.1,77159.36,260794.92,595602.83,136304.39,134372.81,0,6,17.665362207242953,29.586220467791318,58.08605298482943,28.0820695066613,-11.920858260548364,31.43596958112876,2024-07,True,first-sale proxy,23.0,1,2,2-1,21.051351111909593,Defend,"between target and broken - hold, re-check next month",False,2026-06,6760.0,2026-07,DE:Scale|ES:Scale|FR:Scale|GB:Fix|IT:Defend|NL:Scale,6,1,False
Vegavero,Amazon,VV-VITA-277,Vegavero Vitamin B12 for Kids Spray | Natural Cherry Flavour | NO Artificial Additives | Children’s B12 Methylcobalamin & Cyanocobalamin | Natural Xylitol | 4 Months Supply | 125 Sprays | Vegan,actual,12,2026-06,19933.8,21201.329999999998,41135.13,26930.97,12367.53,9516.32,2851.25,10392.130000000001,36212.04,77347.17,19908.45,13487.25,2,6,23.134289353163588,28.69799657793375,65.46951474323772,30.065615448401406,-5.563707224770162,-5.978540025554996,2024-07,True,first-sale proxy,23.0,2,1,1-2,22.175903370375416,Scale,"CM3% 23.1 >= target, sales -6% 3m",False,2026-06,16888.0,2026-07,DE:Fix|ES:Defend|FR:Defend|GB:Fix|IE:Scale|IT:Scale|NL:Fix,7,3,False
Vegavero,Amazon,VV-VITA-284,"Vegavero Organic Chaga Mushroom Extract | 6000 mg 10:1 Extract | 40% Polysaccharides, 30% Betaglucans | NO Additives | 120 Capsules | Vegan",actual,12,2026-06,22892.29,21256.75,44149.04,26570.51,12476.91,8862.1,3614.6,13020.58,44911.08,89060.12,21882.68,14905.89,0,6,20.073143153282608,28.991910236850238,60.183664242755896,28.260886306927624,-8.91876708356763,7.694214778834962,2024-07,True,first-sale proxy,23.0,2,2,2-2,20.336925950043636,Defend,"between target and broken - hold, re-check next month",False,2026-06,20401.0,2026-07,DE:Defend|ES:Scale|FR:Fix|GB:Fix|IE:Defend|IT:Defend|NL:Fix,7,3,False
Vegavero,Amazon,VV-VITA-286,Vegavero ZAAG PALMETTO + PYGEUM AFRICANUM | 500 mg zaagpalmetto-extract (20:1) & 200 mg pygeum-extract (2:1) | 45% vetzuren en 10% sterolen | VEGAN - Geen toevoegingen | 90 capsules,actual,12,2026-06,35313.65,81772.76,117086.41,76838.17,37499.08,29183.52,8315.64,48632.68,144909.36000000002,261995.77,77816.2,15509.27,1,6,24.92477137184409,33.56075825605744,65.62518229058351,32.026842397849585,-8.635986884213349,-56.814897772803555,2024-07,True,first-sale proxy,23.0,1,1,1-1,20.244629293453862,Defend,"CM3% 24.9 >= target, momentum negative - hold",False,2026-06,17910.0,2026-07,BE:No data|DE:Defend|ES:Defend|FR:Defend|IE:No data|IT:Defend|NL:Defend,7,0,False
Vegavero,Amazon,VV-VITA-287,"Vegavero Organic Silica Supplement 300 mg | High Bioavailability | 100% Natural from Bamboo Extracts | Supports Hair, Skin and Nail Health | 120 Capsules | Vegan",actual,12,2026-06,23206.2,55281.45,78487.65,44063.35,19174.69,15107.37,4067.2200000000003,28788.31,110600.37,189088.02,43895.68,21823.65,1,6,19.248085526831293,26.029126304007843,56.14048834434462,24.430200165248927,-6.78104077717655,-58.021723380989464,2024-07,True,first-sale proxy,23.0,1,2,2-1,20.115415853061446,Defend,"between target and broken - hold, re-check next month",False,2026-06,17532.0,2026-07,DE:Defend|ES:Defend|FR:Defend|GB:Fix|IE:Fix|IT:Defend|NL:No data,7,2,False
Vegavero,Amazon,VV-VITA-295,Vegavero Blood Sugar Control | 4 Months Supply - 120 Capsules| Chromium Picolinate + Ceylon Cinnamon Extract + Gymnema Sylvestre Extract | Blood Glucose Metabolism* | Vegan,actual,12,2026-06,27375.19,31676.96,59052.15,38353.64,19247.92,13834.24,5413.69,26338.89,79162.46,138214.61,40173.13,24103.079999999998,3,6,23.427157182253314,33.271944808183065,64.9487613914142,32.594782747114195,-9.84478762592975,-13.580122587521027,2024-07,True,first-sale proxy,23.0,1,1,1-1,20.834353084033594,Defend,"CM3% 23.4 >= target, momentum negative - hold",False,2026-06,15154.0,2026-07,ES:Scale|FR:Defend|GB:Fix|IE:Scale|IT:Scale|NL:Defend,6,1,False
Vegavero,Amazon,VV-VITA-297,Betacaroteno Plus Vegavero | Aceite Vitamina E + Astaxantina | ACTIVADOR BRONCEADO | TCM aceite | 120 Capsulas – Para 4 Meses | Sin Aditivos | Vegano,actual,12,2026-06,15556.46,14959.4,30515.86,16880.64,7565.97,2684.62,4881.39,6213.92,25103.75,55619.61,8898.54,7963.36,4,6,8.797458108668737,24.752955235771548,55.31759550607455,24.793566361885265,-15.955497127102811,3.9912028557295045,2024-07,True,first-sale proxy,23.0,2,3,3-2,22.50405493956179,Fix,CM3% 8.8 vs target 22.5,False,2026-06,47197.0,2026-07,DE:Fix|ES:Fix|FR:Exit|GB:Fix|IE:Fix|IT:Scale|NL:Fix,7,6,False
