brand,channel,sku,product,cm_source,months_active,last_sale_month,net_sales_l3m,net_sales_p3m,net_sales_l6m,cm1_l6m,cm2_l6m,cm3_l6m,ad_spend_l6m,cm3_p6m,net_sales_p6m,net_sales_ttm,cm3_ttm,net_sales_l2m,neg_cm3_months,cm_months_l6m,cm3_pct_l6m,cm3_pct_p6m,cm1_pct_l6m,cm2_pct_l6m,cm3_improving_pp,sales_trend_pct,launch_month,censored,source,age_months,vol_tier,margin_tier,cluster,cm3_target,verdict,reasons,incubating,review_month,bsr,bsr_month,country_verdicts,n_markets,n_markets_action,manual
Vegavero,Amazon,VV-VITA-107,Canela de Ceylan Vegavero | DOSIS ALTA: 2500 mg | Para 4 Meses | Controla Glucosa - Azúcar en Sangre | Colesterol + Antioxidantes | Sin Aditivos & Vegano | 120 Cápsulas,actual,11,2026-05,53789.74,48265.4,102055.14,71675.96,35920.51,28696.05,-7224.360000000001,32134.68,92698.27,194753.41,60830.73,35033.0,0,6,28.118181994557062,34.66588966547056,70.23258211198379,35.1971591043822,-6.547707670913496,11.445756173159232,2024-07,True,first-sale proxy,22.0,1,1,1-1,20.347211585799702,Scale,"CM3% 28.1 >= target, sales +11% 3m",False,2026-05,11610.0,2026-07,DE:Scale|ES:Scale|FR:Defend|GB:Fix|IE:Scale|IT:Scale|NL:Scale,7,1,False
Vegavero,Amazon,VV-VITA-109,"Leber Komplex Vegavero | Mariendistel, Artischocke, Löwenzahn, Cholin & Zichorie | Mit Silymarin & Cynarin | Hochdosierte Extrakte | Leber & Fettstoffwechsel* | Vegan & Ohne Zusätze | 120 Kapseln",actual,11,2026-05,24113.52,18898.37,43011.89,27832.61,12661.51,9577.67,-3083.89,9574.48,31209.0,74220.89,19152.15,16223.699999999999,0,6,22.267493941791443,30.678586305232464,64.70910717943342,29.43723235598343,-8.411092363441021,27.595766195708954,2024-07,True,first-sale proxy,22.0,2,1,1-2,20.00706255645816,Scale,"CM3% 22.3 >= target, sales +28% 3m",False,2026-05,31139.0,2026-07,DE:Defend|ES:Scale|FR:Fix|GB:Harvest|IT:Scale|NL:No data,6,1,False
Vegavero,Amazon,VV-VITA-111,"COLON CARE | 120 capsule | 100% Naturale con Psillio, Zenzero, Finocchio e Fermenti Lattici | Prodotto in Germania | Vegan e Senza Additivi | Vegavero",actual,11,2026-05,26102.79,24330.899999999998,50433.69,31428.19,14799.83,11901.48,-2898.28,14087.15,46701.27,97134.95999999999,25988.63,17434.98,1,6,23.59827329707582,30.164383109923993,62.31586465317132,29.34512624398492,-6.566109812848172,7.282467972824692,2024-07,True,first-sale proxy,22.0,2,1,1-2,19.676409387835232,Scale,"CM3% 23.6 >= target, sales +7% 3m",False,2026-05,39437.0,2026-07,DE:Defend|ES:Scale|FR:Fix|GB:Scale|IE:Defend|IT:Scale|NL:Defend,7,1,False
Vegavero,Amazon,VV-VITA-115,Vegavero Organic Probiotics for Kids | NO Additives | Organic Prebiotic Inulin and 5 Bacterial Strains with 10 Billion CFU | for Children 3+ Years | 75g Powder | Spoon Included,actual,11,2026-05,3304.7400000000002,10963.22,14267.960000000001,8521.84,4151.42,3578.63,-572.85,6932.9,22847.53,37115.49,10511.53,656.8000000000001,1,6,25.08158138935068,30.344199132247557,59.72710885087987,29.09610063386777,-5.262617742896875,-69.8561189139687,2024-07,True,first-sale proxy,22.0,3,1,1-3,20.48465316895991,Defend,"CM3% 25.1 >= target, momentum negative - hold",False,2026-05,58687.0,2026-07,DE:Defend|ES:Defend|FR:Defend|GB:Harvest|IE:Defend|IT:Fix|NL:No data,7,1,False
Vegavero,Amazon,VV-VITA-116,Vegavero Organic Iodine Supplement | NO Additives | 100% Natural Organic Scottish Sea Kelp | 150 mcg Pure | 180 Tablets | Vegan,actual,11,2026-05,25049.95,24954.41,50004.36,30959.13,13869.58,11199.38,-2670.12,13357.57,48582.41,98586.77,24556.95,14945.33,0,6,22.396806998429735,27.494663191883646,61.912861198503485,27.736741356153743,-5.097856193453911,0.38285818017737494,2024-07,True,first-sale proxy,22.0,2,1,1-2,21.92985597772399,Scale,"CM3% 22.4 >= target, sales +0% 3m",False,2026-05,13988.0,2026-07,BE:Scale|DE:Scale|ES:Scale|FR:Defend|GB:Fix|IE:Fix|IT:Scale|NL:Fix,8,3,False
Vegavero,Amazon,VV-VITA-119,Citrate de Magnésium + Potassium Vegavero® | 180 Gélules | Sans Additifs & VEGAN | Absorption Optimale | Douleurs Musculaires + Crampes + Anti Fatigue*,actual,11,2026-05,73062.49,66780.67,139843.16,88968.09,43877.78,31029.34,-12848.43,39338.78,129765.74,269608.9,70368.12,58769.59,3,6,22.188671937905294,30.315228040929753,63.61990818857354,31.376421985887614,-8.126556103024459,9.406644168140282,2024-07,True,first-sale proxy,22.0,1,1,1-1,20.534433974842816,Scale,"CM3% 22.2 >= target, sales +9% 3m",False,2026-05,7380.0,2026-07,DE:Defend|ES:Scale|FR:Defend|GB:Defend|IE:Fix|IT:Scale|NL:No data,7,1,False
Vegavero,Amazon,VV-VITA-121,"Wechseljahre Vegavero | Meno Balance für Menopause | wildyamswurzel, Nachtkerze, Hopfen, Salbei, Kamille | 100% Natürlich & Hormonfrei | Vegan",actual,11,2026-05,24550.94,33273.6,57824.54,33448.47,14073.03,8976.31,-5096.6,15513.31,58707.38,116531.92,24489.62,14957.130000000001,1,6,15.523357384252428,26.42480383215875,57.84476625322051,24.33746987005863,-10.901446447906324,-26.21495720330833,2024-07,True,first-sale proxy,22.0,1,3,3-1,19.917740729087058,Defend,"between target and broken - hold, re-check next month",False,2026-05,14813.0,2026-07,BE:No data|DE:Defend|ES:Fix|FR:Fix|GB:No data|IE:Scale|IT:Defend|NL:No data,8,2,False
Vegavero,Amazon,VV-VITA-122,"Vegavero Immunsystem Komplex – mit Echinacea, Acerola Vitamin C, Vitamin D3, Ingwer, Zink & Selen – vegane Immunformel ohne Zusatzstoffe – 120 Kapseln hochdosiert",actual,11,2026-05,16782.86,44464.83,61247.69,41050.01,19463.88,16708.02,-2755.85,26221.3,75175.36,136423.05,42929.32,8792.08,1,6,27.279428824172797,34.880178824551024,67.02295221256507,31.778961786150628,-7.600750000378227,-62.255877285486086,2024-07,True,first-sale proxy,22.0,1,1,1-1,17.849432389592526,Defend,"CM3% 27.3 >= target, momentum negative - hold",False,2026-05,27035.0,2026-07,BE:No data|DE:Defend|ES:Defend|FR:Defend|IT:Defend|NL:Defend,6,0,False
Vegavero,Amazon,VV-VITA-122-V,"Vegavero Immunsystem Komplex – mit Echinacea, Acerola Vitamin C, Vitamin D3, Ingwer, Zink & Selen – vegane Immunformel ohne Zusatzstoffe – 240 Kapseln hochdosiert",actual,8,2026-05,6687.02,14909.99,21597.01,12634.4,6356.17,5767.08,-589.15,2062.1000000000004,7567.8,29164.81,7829.18,3775.6800000000003,1,6,26.703140851441937,27.248341658077653,58.50069060485688,29.43078694689682,-0.5452008066357159,-55.15074121444749,2025-10,False,first-sale proxy,7.0,3,1,1-3,17.734046626568116,Defend,"CM3% 26.7 >= target, momentum negative - hold",False,2026-05,16056.0,2026-07,DE:Defend|ES:Defend|FR:Defend|IT:Defend,4,0,False
Vegavero,Amazon,VV-VITA-124,Vegavero NATUURLIJKE VITAMINE C | gemaakt van biologisch acerola-extract | Veganistisch | Zonder toevoegingen | 180 capsules,actual,11,2026-05,50279.74,53457.04,103736.78,55669.28,22493.22,17902.68,-4590.48,20409.22,86026.56999999999,189763.35,38311.9,33068.229999999996,2,6,17.25779419796913,23.724321450919177,53.66397530364833,21.68297492943197,-6.466527252950048,-5.943651201039195,2024-07,True,first-sale proxy,22.0,1,2,2-1,19.28272768829703,Defend,"between target and broken - hold, re-check next month",False,2026-05,24680.0,2026-07,DE:Fix|ES:Scale|FR:Fix|GB:Fix|IE:Defend|IT:Defend|NL:Scale,7,3,False
