sku,asin,totalFbaAvailablePool,totalFbaIncomingPool,salesVelocity,daysOfInventory,projectedDaysOfInventory,oosRiskFlag,totalUnits30d
VV-VITA-171,B087JJ4M8H,395,255,16.1615,27.349,43.1272,False,507
VV-VITA-227,B08VWF8Y96,165,0,6.9144,27.4788,27.4788,True,237
VV-VITA-129,B07J5M5PZW,248,0,10.2079,27.9194,27.9194,True,294
VV-VITA-136,B07KJMHWGW,1073,0,41.7386,28.0316,28.0316,True,1294
CW-BID2-NFIP,B0DJP4W7KC,508,72,18.9605,28.0584,31.8557,True,639
VV-VITA-208,B08JC9XBGM,1054,34,40.1398,28.326,29.1731,True,1217
VV-VITA-394,B0F446RQXB,96,0,3.6379,28.5876,28.5876,True,112
VV-VITA-146,B07R5XPNMP,82,0,2.9009,28.6118,28.6118,True,50
VV-VITA-204,B08JCV95Y3,20,0,0.7968,28.8672,28.8672,True,32
VV-VITA-198,B08GCTM58N,843,0,31.015,28.9215,28.9215,True,970
VV-VITA-277,B09NRH7WP6,206,144,7.8527,29.0347,47.3724,False,254
VV-VITA-189,B08DCXNCWS,319,144,12.0269,29.4341,41.4073,False,389
VV-VITA-326,B0BSQVND4T,482,463,17.484,29.6843,56.1656,False,546
9G-B3KH-DDA0-Neu,B0CB8ZB9KT,125,0,4.318,29.8746,29.8746,True,138
VV-VITA-359,B0D22XWFBT,115,85,4.0779,29.9172,50.7612,False,122
VV-VITA-304,B0B6WCHGMK,19,0,0.701,29.9589,29.9589,True,15
VV-VITA-116,B07B9NWQ61,115,0,4.1167,30.3641,30.3641,True,133
VV-VITA-320,B0BMQXCX1X,79,116,3.2984,30.621,65.7896,False,81
VV-VITA-319,B0BMQTBYKT,199,120,6.8841,31.0862,48.5178,False,195
VV-VITA-216,B08NPF3LJ7,98,60,3.4719,31.1073,48.3891,False,141
VV-VITA-381,B0DGGWX7WN,1682,0,57.5323,31.2868,31.2868,True,1677
VV-VITA-295,B09XBMWYVC,78,0,2.6703,31.4568,31.4568,True,83
